popularity,profit,budget,revenue,original_title,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
7.40416499999999,1082730962,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Comedy,Universal Pictures|Illumination Entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
6.326804,678708609,175000000,853708609,Inside Out,Pete Docter,94,Comedy,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
6.326804,678708609,175000000,853708609,Inside Out,Pete Docter,94,Animation,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
6.326804,678708609,175000000,853708609,Inside Out,Pete Docter,94,Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
6.200282,635674609,245000000,880674609,Spectre,Sam Mendes,148,Action,Columbia Pictures|Danjaq|B24,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
6.200282,635674609,245000000,880674609,Spectre,Sam Mendes,148,Adventure,Columbia Pictures|Danjaq|B24,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
6.200282,635674609,245000000,880674609,Spectre,Sam Mendes,148,Crime,Columbia Pictures|Danjaq|B24,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
6.189369,7987720,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
6.189369,7987720,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Fantasy,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
6.189369,7987720,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Action,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
6.189369,7987720,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
6.118847,21869414,15000000,36869414,Ex Machina,Alex Garland,108,Drama,DNA Films|Universal Pictures International (UPI)|Film4,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
6.118847,21869414,15000000,36869414,Ex Machina,Alex Garland,108,Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
5.984995,155637091,88000000,243637091,Pixels,Chris Columbus,105,Action,Columbia Pictures|Happy Madison Productions,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
5.984995,155637091,88000000,243637091,Pixels,Chris Columbus,105,Comedy,Columbia Pictures|Happy Madison Productions,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
5.984995,155637091,88000000,243637091,Pixels,Chris Columbus,105,Science Fiction,Columbia Pictures|Happy Madison Productions,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
5.944927,1125035767,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Action,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
5.944927,1125035767,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Adventure,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
5.944927,1125035767,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
5.8984,111760117,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Crime,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
5.8984,111760117,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Drama,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
5.8984,111760117,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Mystery,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
5.8984,111760117,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Western,Double Feature Films|The Weinstein Company|FilmColony,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
5.749758,277771424,48000000,325771424,Taken 3,Olivier Megaton,109,Crime,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
5.749758,277771424,48000000,325771424,Taken 3,Olivier Megaton,109,Action,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
5.749758,277771424,48000000,325771424,Taken 3,Olivier Megaton,109,Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
5.573184,388602163,130000000,518602163,Ant-Man,Peyton Reed,115,Science Fiction,Marvel Studios,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
5.573184,388602163,130000000,518602163,Ant-Man,Peyton Reed,115,Action,Marvel Studios,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
5.573184,388602163,130000000,518602163,Ant-Man,Peyton Reed,115,Adventure,Marvel Studios,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
5.556818,447351353,95000000,542351353,Cinderella,Kenneth Branagh,112,Romance,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,447351353,95000000,542351353,Cinderella,Kenneth Branagh,112,Fantasy,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,447351353,95000000,542351353,Cinderella,Kenneth Branagh,112,Family,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,447351353,95000000,542351353,Cinderella,Kenneth Branagh,112,Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
5.476958,490523427,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
5.476958,490523427,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Adventure,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
5.476958,490523427,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
5.462138,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Action,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Family,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Science Fiction,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Adventure,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,19035668,190000000,209035668,Tomorrowland,Brad Bird,130,Mystery,Walt Disney Pictures|Babieka|A113,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
5.337064,61709827,30000000,91709827,Southpaw,Antoine Fuqua,123,Action,Escape Artists|Riche-Ludwig Productions,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783
5.337064,61709827,30000000,91709827,Southpaw,Antoine Fuqua,123,Drama,Escape Artists|Riche-Ludwig Productions,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783
4.907832,360490832,110000000,470490832,San Andreas,Brad Peyton,114,Action,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
4.907832,360490832,110000000,470490832,San Andreas,Brad Peyton,114,Drama,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
4.907832,360490832,110000000,470490832,San Andreas,Brad Peyton,114,Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
4.71040199999999,529651467,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Drama,Focus Features|Trigger Street Productions|Michael De Luca Productions,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187
4.71040199999999,529651467,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187
4.648046,105346506,28000000,133346506,The Big Short,Adam McKay,130,Comedy,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
4.648046,105346506,28000000,133346506,The Big Short,Adam McKay,130,Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
4.566713,532330139,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881
4.564549,147863606,68000000,215863606,Ted 2,Seth MacFarlane,115,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845
4.503789,322802136,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Crime,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,322802136,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Comedy,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,322802136,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Action,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,322802136,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
4.062293,68346473,20000000,88346473,Spotlight,Tom McCarthy,128,Drama,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
4.062293,68346473,20000000,88346473,Spotlight,Tom McCarthy,128,Thriller,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
4.062293,68346473,20000000,88346473,Spotlight,Tom McCarthy,128,History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
3.968891,250256926,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,132,Action,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
3.968891,250256926,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,132,Science Fiction,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
3.968891,250256926,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,132,Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
3.927333,29355203,0,29355203,Mr. Holmes,Bill Condon,103,Mystery,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6/19/15,425,6.4,2015,0.0,27006774.877019
3.927333,29355203,0,29355203,Mr. Holmes,Bill Condon,103,Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6/19/15,425,6.4,2015,0.0,27006774.877019
3.899557,53069268,49000000,102069268,Chappie,Neill Blomkamp,120,Crime,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
3.899557,53069268,49000000,102069268,Chappie,Neill Blomkamp,120,Action,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
3.899557,53069268,49000000,102069268,Chappie,Neill Blomkamp,120,Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
3.877764,258506194,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,115,Comedy,Universal Pictures|Gold Circle Films|Brownstone Productions,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543
3.877764,258506194,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,115,Music,Universal Pictures|Gold Circle Films|Brownstone Productions,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543
3.64821,122610473,40000000,162610473,Bridge of Spies,Steven Spielberg,141,Thriller,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
3.64821,122610473,40000000,162610473,Bridge of Spies,Steven Spielberg,141,Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
3.644541,92170815,58000000,150170815,Goosebumps,Rob Letterman,103,Adventure,Columbia Pictures|Original Film|Scholastic Entertainment,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
3.644541,92170815,58000000,150170815,Goosebumps,Rob Letterman,103,Horror,Columbia Pictures|Original Film|Scholastic Entertainment,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
3.644541,92170815,58000000,150170815,Goosebumps,Rob Letterman,103,Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
3.557846,29401758,6000000,35401758,Room,Lenny Abrahamson,117,Drama,Element Pictures|No Trace Camping|A24|Duperele Films,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746
3.557846,29401758,6000000,35401758,Room,Lenny Abrahamson,117,Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746
3.358321,22354572,0,22354572,Solace,Afonso Poyart,101,Crime,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,9/3/15,474,6.2,2015,0.0,20566197.1908732
3.358321,22354572,0,22354572,Solace,Afonso Poyart,101,Drama,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,9/3/15,474,6.2,2015,0.0,20566197.1908732
3.358321,22354572,0,22354572,Solace,Afonso Poyart,101,Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,9/3/15,474,6.2,2015,0.0,20566197.1908732
3.339135,156926147,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Adventure,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,156926147,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Animation,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,156926147,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Comedy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,156926147,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Family,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,156926147,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
3.23737,21561644,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Action,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,21561644,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Crime,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,21561644,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Drama,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,21561644,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Mystery,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,21561644,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
3.227329,51076141,11000000,62076141,Brooklyn,John Crowley,111,Drama,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
3.227329,51076141,11000000,62076141,Brooklyn,John Crowley,111,Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
3.202719,173634991,28000000,201634991,Straight Outta Compton,F. Gary Gray,147,Drama,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191
3.202719,173634991,28000000,201634991,Straight Outta Compton,F. Gary Gray,147,Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191
3.080505,50396650,90000000,140396650,The Last Witch Hunter,Breck Eisner,106,Fantasy,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
3.080505,50396650,90000000,140396650,The Last Witch Hunter,Breck Eisner,106,Action,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
3.080505,50396650,90000000,140396650,The Last Witch Hunter,Breck Eisner,106,Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
3.079522,4441873,30000000,34441873,Steve Jobs,Danny Boyle,122,History,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359
3.079522,4441873,30000000,34441873,Steve Jobs,Danny Boyle,122,Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359
3.053421,33145109,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,116,Comedy,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791
3.053421,33145109,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,116,Action,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791
